限りとてわかるる道のかなしきにいかまほしきは命なりけり,"I leave you, to go the road we all must go. 
The road I would choose, if only I could, is the other.",
宮城野の露吹き結ぶ風の音に小萩が本を思ひこそやれ,"At the sound of the wind, bringing dews to Miyagi Plain, 
I think of the tender hagi* upon the moor.",
鈴虫の声の限りを尽くしても長き夜あかずふる涙かな,"The autumn night is too short to contain my tears
Though songs of bell cricket weary, fall into silence.",
いとゞしく虫の音しげき浅茅生に露をき添ふる雲の上人,"Sad are the insect songs among the reeds. 
More sadly yet falls the dew from above the clouds.",
荒き風ふせぎし陰の枯しより小萩がうへぞ静心なき,"The tree that gave them shelter has withered and died. 
One fears for the plight of the hagi shoots beneath.",
尋ねゆくまぼろしもがなつてにても玉のありかをそこと知るべく,"And will no wizard search her out for me, 
That even he may tell me where she is?",
雲のうへも涙に暮るる秋の月いかで住らむ浅茅生の宿,"Tears dim the moon, even here above the clouds. 
Dim must it be in that lodging among the reeds.",
いときなき初元結ひに長き世を契る心は結びこめつや,"The boyish locks are now bound up, a man's. 
And do we tie a lasting bond for his future?",
結びつる心も深き元結ひに濃き紫の色しあせずは,"Fast the knot which the honest heart has tied. 
May lavender, the hue of the troth, be as fast.",
手をおりてあひ見し事をかぞふればこれひとつやは君がうきふし,"I count them over, the many things between us. 
One finger does not, alas, count the sum of your failures.",
うきふしを心ひとつにかぞへきてこや君が手をわかるべきおり,"I have counted them up myself, be assured, my failures. 
For one bitten finger must all be bitten away?",
琴の音も月もえならぬ宿ながらつれなき人を引きやとめける,"Uncommonly fine this house, for moon, for koto. 
Does it bring to itself indifferent callers as well?",
木枯らしに吹きあはすめる笛の音を引きとゞむべきことの葉ぞなき,"No match the leaves for the angry winter winds. 
Am I to detain the flute that joins those winds?",
山がつの垣ほ荒るともおりおりにあはれはかけよなでしこの露,"The fence of the mountain rustic may fall to the ground. 
Rest gently. O dew, upon the wild carnation.",
咲きまじる色はいづれとわかねども猶常夏にしくものぞなき,"No bloom in this wild array would I wish to slight. 
But dearest of all to me is the wild carnation.",
うちはらふ袖も露けきとこなつにあらし吹きそふ秋も来にけり,"Dew wets the sleeve that brushes the wild carnation. 
The tempest rages. Now comes autumn too.",
さゝがにのふるまひしるき夕暮れにひるま過ぐせと言ふがあやなさ,"The spider must have told you I would come. 
Then why am I asked to keep company with garlic?",
逢ふことの夜をし隔てぬ中ならばひるまも何かまばゆからまし,"Were we two who kept company every night, 
What would be wrong with garlic in the daytime?",
つれなきをうらみもはてぬしのゝめにとりあへぬまでおどろかすらむ,"Why must they startle with their dawn alarums 
When hours are yet required to thaw the ice?",
身のうさを嘆くにあかで明くる夜はとりかさねてぞねも泣かれける,"Day has broken without an end to my tears, 
To my cries of sorrow are added the calls of the cocks.",
見し夢をあふ夜ありやと嘆くまに目さへあはでぞころも経にける,"I yearn to dream again the dream of that night. 
The nights go by in lonely wakefulness.",
はゝき木の心を知らで園原の道にあやなくまどひぬるかな,"I wander lost in the Sonohara moorlands, 
For I did not know the deceiving ways of the broom tree.",
数ならぬ伏屋に生ふる名のうさにあるにもあらず消ゆるはゝ木ゝ,"Here and not here. I lie in my shabby hut. 
Would that I might like the broom tree vanish away.",
空蝉の身をかへてける木のもとになを人がらのなつかしきかな,"Beneath a tree, a locust's empty shell. 
Sadly I muse upon the shell of a lady.",
空蝉の羽にをく露の木がくれて忍び忍びに濡るる袖かな,The dew upon the fragile locust wing ,
心あてにそれかとぞ見る白露の光添へたる夕顔の花,Is lost among the leaves. Lost are my tears.,
寄りてこそそれかとも見めたそかれにほのぼの見つる花の夕顔,"Come a bit nearer, please. Then might you know 
Whose was the evening face so dim in the twilight.",
咲花にうつるてふ名はつつめどもおらで過ぎうきけさの朝顔,"Though loath to be taxed with seeking fresher blooms, 
I feel impelled to pluck this morning glory.",
朝霧の晴れ間も待たぬけしきにて花に心をとめぬとぞ見る,"In haste to plunge into the morning mists, 
You seem to have no heart for the blossoms here.",
優婆塞が行ふ道をしるべにて来む世も深き契たがふな,"This pious one shall lead us on our way 
As we plight our troth for all the lives to come.",
先の世の契知らるる身のうさに行く末かねて頼みがたさよ,"So heavy the burden I bring with me from the past, 
I doubt that I should make these vows for the future.",
いにしへもかくやは人のまどひけん我まだ知らぬ篠の目の道,"And did it confuse them too, the men of old, 
This road through the dawn, for me so new and strange?",
山の端の心も知らでゆく月はうはの空にて影や絶えなむ,"And is the moon, unsure of the hills it approaches, 
Foredoomed to lose its way in the empty skies?",
夕露に紐とく花は玉鉾のたよりに見えしえにこそありけれ,"Because of one chance meeting by the wayside 
The flower now opens in the evening dew.",
光ありと見し夕顔のうは露はたそかれ時のそら目なりけり,"The face seemed quite to shine in the evening dew, 
But I was dazzled by the evening light.",
見し人の煙を雲とながむれば夕べの空もむつましきかな,"One sees the clouds as smoke that rose from the pyre, 
And suddenly the evening sky seems nearer.",
問はぬをもなどかと問はでほど経るにいかばかりかは思ひ乱るる,"Time goes by, you ask not why I ask not. 
Think if you will how lonely a life is mine.",
空蝉の世はうき物と知りにしをまた言の葉にかかる命よ,"Hollow though it was, the shell of the locust 
Gave me strength to face a gloomy world.",
ほのかにも軒端の萩を結ばずは露のかことを何にかけまし,"I bound them loosely, the reeds beneath the eaves, 
And reprove them now for having come undone.",
ほのめかす風につけても下萩のなかばは霜に結ぼほれつつ,"The wind brings words, all softly, to the reed, 
And the under leaves are nipped again by the frost.",
泣く泣くもけふはわが結ふ下紐をいづれの世にかとけて見るべき,"I weep and weep as today I tie this cord. 
It will be untied in an unknown world to come.",
逢ふまでの形見ばかりと見しほどにひたすら袖の朽ちにけるかな,"A keepsake till we meet again,I had hoped,
And see,my tears have rotted the sleeves away.",
蝉の羽もたちかへてける夏衣かへすを見ても音は泣かれけり,"Autumn comes, the wings of the locust are shed. 
A summer robe returns, and I weep aloud.",
過ぎにしもけふ別るるも二道に行くかた知らぬ秋の暮かな,"The one has gone, to the other I say farewell. 
They go their unknown ways. The end of autumn.",
をひたたむありかも知らぬ若草ををくらす露ぞ消えんそらなき,"Are these tender grasses to grow without the dew 
Which holds itself back from the heavens that would receive it?",
初草の生い行くゑも知らぬ間にいかでか露の消えんとすらむ,"It cannot be that the dew will vanish away 
Ere summer comes to these early grasses of spring.",
初草の若葉のうへを見つるより旅寝の袖も露ぞかはかぬ,"Since first the wanderer glimpsed the fresh young grasses 
His sleeves have known no respite from the dew.",
枕ゆふこよひばかりの露けさを深山の苔にくらべざらなむ,"The dew of a night of travel―do not compare it 
With the dew that soaks the sleeves of the mountain dweller.",
吹まよふ深山おろしに夢さめて涙もよほす滝のをとかな,"A wind strays down from the hills to end my dream, 
And tears well forth at these voices upon the waters.",
さしぐみに袖ぬらしける山水にすめる心はさはぎやはする,"These waters wet your sleeves. Our own are dry, 
And tranquil our hearts, washed clean by mountain waters.",
宮人に行て語らむ山桜風よりさきに来ても見るべく,"I shall say to my city friends: 'Make haste to see 
Those mountain blossoms. The winds may see them first.",
優曇華の花待ち得たる心ちして深山桜に目こそ移らね,"In thirty hundreds of years it blooms but once. 
My eyes have seen it, and spurn these mountain cherries.",
奥山の松の戸ぼそをまれに明てまだ見ぬ花の顔を見るかな,"My mountain door of pine has opened briefly 
To see a radiant flower not seen before.",
夕まぐれほのかに花の色を見てけさは霞の立ちぞわづらふ,"Having come upon an evening blossom, 
The mist is loath to go with the morning sun.",
まことにや花のあたりは立ちうきと霞むる空のけしきをも見む,"Can we believe the mist to be so reluctant? 
We shall watch the morning sky for signs of truth.",
面影は身をも離れず山桜心の限りとめて来しかど,"The mountain blossoms are here beside me still. 
All of myself I left behind with them.",
嵐吹おのへの桜散らぬ間を心とめけるほどのはかなさ,"Brief as the time till the autumn tempests come 
To scatter the flowers―so brief your thoughts of her.",
あさか山浅くも人を思はぬになど山の井のかけ離るらむ,"No Shallow Spring, this heart of mine believe me. 
And why must the mountain spring then seem so distant?",
汲みそめてくやしと聞きし山の井の浅きながらや影を見ゆべき,"You drink at the mountain stream, your thoughts turn elsewhere. 
Do you hope to see the image you thus disturb?",
見ても又逢ふ夜まれなる夢のうちにやがてまぎるるわが身ともがな,"So few and scattered the nights, so few the dreams. 
Would that the dream tonight might take me with it.",
世語りに人や伝へんたぐひなくうき身を覚めぬ夢になしても,"Were I to disappear in the last of dreams 
Would yet my name live on in infamy?",
いはけなき鶴の一声聞きしより葦間になづむ舟ぞえならぬ,"Seeking to follow the call of the nestling crane 
The open boat is lost among the reeds.",
